cycles/px,mtf,lp/mm,
0,1,2496.266667,2496.266667
0.001956947,0.997932359,2491.105282,2491.105283
0.003913894,0.991769259,2475.720543,2475.720542
0.005870841,0.981628818,2450.407296,2450.407297
0.007827789,0.967703426,2415.645806,2415.645806
0.009784736,0.950253247,2372.085505,2372.085505
0.011741683,0.929597483,2320.52321,2320.52321
0.01369863,0.906103792,2261.876692,2261.876693
0.015655577,0.880176271,2197.154687,2197.154686
0.017612524,0.852242513,2127.424578,
0.019569472,0.822740244,2053.779047,
0.021526419,0.792104095,1977.30305,
0.023483366,0.760753029,1899.042427,
0.025440313,0.729078909,1819.975378,
0.02739726,0.697436675,1740.987924,
0.029354207,0.666136476,1662.854279,
0.031311155,0.635438055,1586.222835,
0.033268102,0.605547564,1511.6082,
0.035225049,0.576616857,1439.38944,
0.037181996,0.548745191,1369.814328,
0.039138943,0.521983136,1303.009102,
0.04109589,0.496338368,1238.992924,
0.043052838,0.471782918,1177.695972,
0.045009785,0.448261378,1118.979936,
0.046966732,0.425699548,1062.659592,
0.048923679,0.404012996,1008.524174,
0.050880626,0.383115067,956.3573706,
0.052837573,0.36292395,905.954959,
0.054794521,0.343368502,857.1393457,
0.056751468,0.324392634,809.7705184,
0.058708415,0.305958165,763.7531696,
0.060665362,0.28804614,719.0399777,
0.062622309,0.270656671,675.6312258,
0.064579256,0.25380746,633.5711016,
0.066536204,0.237531176,592.9411557,
0.068493151,0.221871927,553.8514944,
0.070450098,0.206881084,516.4303548,
0.072407045,0.192612736,480.8127528,
0.074363992,0.179119047,447.1289062,
0.076320939,0.166445808,415.4931225,
0.078277886,0.154628432,385.9938011,
0.080234834,0.143688629,358.6851354,
0.082191781,0.133631962,333.5810124,
0.084148728,0.124446435,310.6514872,
0.086105675,0.116102206,289.8220657,
0.088062622,0.108552441,270.9758399,
0.090019569,0.101735249,253.9583121,
0.091976517,0.095576538,238.5845265,
0.093933464,0.089993564,224.6479351,
0.095890411,0.084898902,211.9302994,
0.097847358,0.080204528,200.2118887,
0.099804305,0.075825748,189.2812875,
0.101761252,0.071684743,178.9442351,
0.1037182,0.067713545,169.0310653,
0.105675147,0.063856339,159.402451,
0.107632094,0.060071016,149.9532753,
0.109589041,0.056329939,140.6145498,
0.111545988,0.052619932,131.3533815,
0.113502935,0.048941514,122.171069,
0.115459883,0.045307453,113.0994843,
0.11741683,0.041740721,104.1959711,
0.119373777,0.038271974,95.53705314,
0.121330724,0.03493669,87.21129508,
0.123287671,0.03177212,79.31168382,
0.125244618,0.028814192,71.92790798,
0.127201566,0.026094532,65.13891052,
0.129158513,0.023637739,59.00610027,
0.13111546,0.021459106,53.56765042,
0.133072407,0.01956297,48.83438899,
0.135029354,0.017941931,44.78784465,
0.136986301,0.016577127,41.38093033,
0.138943249,0.015439617,38.54140208,
0.140900196,0.014492699,36.17764057,
0.142857143,0.013694743,34.18573003,
0.14481409,0.013002062,32.45661331,
0.146771037,0.012371441,30.88241518,
0.148727984,0.01176221,29.361614,
0.150684932,0.011137919,27.80321605,
0.152641879,0.010467726,26.13023628,
0.154598826,0.009727595,24.282671,
0.156555773,0.008901273,22.21995125,
0.15851272,0.007981017,19.92274686,
0.160469667,0.006968017,17.39402776,
0.162426614,0.005872587,14.65954235,
0.164383562,0.004714486,11.76861426,
0.166340509,0.003524776,8.798781583,
0.168297456,0.002355871,5.880882135,
0.170254403,0.001344572,3.356410034,
0.17221135,0.001045152,2.608978182,
0.174168297,0.001731406,4.32204998,
0.176125245,0.002621547,6.544079938,
0.178082192,0.0034513,8.615364081,
0.180039139,0.004155608,10.37350531,
0.181996086,0.00470881,11.75444533,
0.183953033,0.00510085,12.73308205,
0.18590998,0.005332194,13.31057904,
0.187866928,0.005412117,13.51008814,
0.189823875,0.005357658,13.37414221,
0.191780822,0.005192631,12.96219062,
0.193737769,0.004946544,12.34789333,
0.195694716,0.004653331,11.61595421,
0.197651663,0.004349685,10.85797465,
0.199608611,0.00407256,10.16619654,
0.201565558,0.003855222,9.623662558,
0.203522505,0.003721885,9.290816732,
0.205479452,0.00368272,9.193050443,
0.207436399,0.003732554,9.317451236,
0.209393346,0.00385482,9.622657788,
0.211350294,0.004028222,10.05551631,
0.213307241,0.004232162,10.56460501,
0.215264188,0.004449146,11.10625518,
0.217221135,0.004664855,11.64472176,
0.219178082,0.004867223,12.14988766,
0.221135029,0.005045514,12.59494889,
0.223091977,0.005189823,12.95518177,
0.225048924,0.005291088,13.20796605,
0.227005871,0.005341481,13.33376175,
0.228962818,0.005334997,13.31757432,
0.230919765,0.005268053,13.15046513,
0.232876712,0.005139987,12.83077737,
0.234833659,0.004953353,12.36488918,
0.236790607,0.004714016,11.76744224,
0.238747554,0.004431061,11.06111002,
0.240704501,0.00411657,10.27605676,
0.242661448,0.003785365,9.449280441,
0.244618395,0.003454751,8.623980993,
0.246575342,0.003144229,7.84883312,
0.24853229,0.002874852,7.176397075,
0.250489237,0.002667541,6.658893103,
0.252446184,0.002539508,6.339288254,
0.254403131,0.002499215,6.238707231,
0.256360078,0.0025428,6.347506277,
0.258317025,0.002655258,6.628232778,
0.260273973,0.002815655,7.028624889,
0.26223092,0.003002378,7.494737266,
0.264187867,0.003195999,7.978066966,
0.266144814,0.003380019,8.437428119,
0.268101761,0.003540702,8.838536927,
0.270058708,0.003666795,9.153298131,
0.272015656,0.003749406,9.359516394,
0.273972603,0.003782075,9.441067676,
0.27592955,0.003760947,9.388326593,
0.277886497,0.003684952,9.198621869,
0.279843444,0.00355593,8.876550211,
0.281800391,0.003378671,8.434062814,
0.283757339,0.003160851,7.89032815,
0.285714286,0.002912934,7.271461242,
0.287671233,0.002648065,6.610276924,
0.28962818,0.002382042,5.946213284,
0.291585127,0.002133307,5.325302338,
0.293542074,0.001922533,4.79915614,
0.295499022,0.001770712,4.420169113,
0.297455969,0.001694325,4.229486331,
0.299412916,0.001698738,4.240502597,
0.301369863,0.001775385,4.431834382,
0.30332681,0.001906411,4.758910411,
0.305283757,0.002072178,5.172707815,
0.307240705,0.002255721,5.630879989,
0.309197652,0.002443524,6.099688569,
0.311154599,0.002624655,6.551839404,
0.313111546,0.002789761,6.963988594,
0.315068493,0.002930483,7.315266816,
0.31702544,0.00303931,7.586929426,
0.318982387,0.003109776,7.762830904,
0.320939335,0.003136828,7.830358079,
0.322896282,0.003117259,7.781509487,
0.324853229,0.003050113,7.613894609,
0.326810176,0.002936993,7.331517389,
0.328767123,0.002782273,6.945294498,
0.33072407,0.002593207,6.473336916,
0.332681018,0.002379988,5.941084506,
0.334637965,0.002155774,5.381387977,
0.336594912,0.001936674,4.834455285,
0.338551859,0.001741372,4.346928669,
0.340508806,0.001589553,3.967948226,
0.342465753,0.001497843,3.739014713,
0.344422701,0.001473592,3.678477933,
0.346379648,0.001511041,3.771960604,
0.348336595,0.001594505,3.980309997,
0.350293542,0.001705776,4.258071788,
0.352250489,0.001829463,4.566828474,
0.354207436,0.001954439,4.878800818,
0.356164384,0.002073047,5.174877958,
0.358121331,0.002179757,5.44125539,
0.360078278,0.002270033,5.666607865,
0.362035225,0.002339637,5.840357251,
0.363992172,0.002384376,5.952037102,
0.365949119,0.002400199,5.991537593,
0.367906067,0.002383531,5.949929669,
0.369863014,0.002331705,5.820557729,
0.371819961,0.002243403,5.600132961,
0.373776908,0.002119017,5.289632322,
0.375733855,0.001960885,4.894892276,
0.377690802,0.001773397,4.426873003,
0.37964775,0.001563,3.901664282,
0.381604697,0.001338173,3.340437173,
0.383561644,0.001109571,2.769785014,
0.385518591,0.000890676,2.223365714,
0.387475538,0.000699575,1.746325903,
0.389432485,0.000561393,1.401386642,
0.391389432,0.000502906,1.255387951,
0.39334638,0.000526129,1.313358162,
0.395303327,0.000598983,1.495220992,
0.397260274,0.000688424,1.718490728,
0.399217221,0.000777325,1.940411112,
0.401174168,0.000860161,2.147191951,
0.403131115,0.000937092,2.339231249,
0.405088063,0.00101018,2.52167914,
0.40704501,0.001081021,2.698517389,
