cycles/px,mtf,lp/mm
0.0,1.0,0.0
0.0019569471624266144,0.998372676542468,0.00684931506849315
0.003913894324853229,0.9935135242322833,0.0136986301369863
0.005870841487279843,0.985490448688185,0.02054794520547945
0.007827788649706457,0.9744148100591131,0.0273972602739726
0.009784735812133072,0.9604387437993599,0.03424657534246575
0.011741682974559686,0.9437514996720233,0.0410958904109589
0.0136986301369863,0.924574890316668,0.04794520547945205
0.015655577299412915,0.903157968179449,0.0547945205479452
0.01761252446183953,0.8797710769980736,0.06164383561643836
0.019569471624266144,0.8546994502479589,0.0684931506849315
0.021526418786692758,0.828236552381609,0.07534246575342467
0.023483365949119372,0.8006773772822783,0.0821917808219178
0.025440313111545987,0.7723119297485438,0.08904109589041095
0.0273972602739726,0.7434191175849697,0.0958904109589041
0.029354207436399216,0.7142612717858337,0.10273972602739725
0.03131115459882583,0.6850794887997287,0.1095890410958904
0.033268101761252444,0.6560899515010946,0.11643835616438356
0.03522504892367906,0.6274813353756432,0.12328767123287672
0.03718199608610567,0.5994133465146033,0.13013698630136986
0.03913894324853229,0.5720163731476187,0.136986301369863
0.0410958904109589,0.5453921689476657,0.14383561643835616
0.043052837573385516,0.5196154311683763,0.15068493150684933
0.04500978473581213,0.49473609619914666,0.15753424657534246
0.046966731898238745,0.47078215380592014,0.1643835616438356
0.04892367906066536,0.44776278061016345,0.17123287671232876
0.050880626223091974,0.4256716111704715,0.1780821917808219
0.05283757338551859,0.40448999610055686,0.18493150684931509
0.0547945205479452,0.3841901336692563,0.1917808219178082
0.05675146771037182,0.3647379966318219,0.1986301369863014
0.05870841487279843,0.3460960034591466,0.2054794520547945
0.060665362035225046,0.32822539936068895,0.2123287671232877
0.06262230919765166,0.3110883177237753,0.2191780821917808
0.06457925636007827,0.294649490167587,0.22602739726027396
0.06653620352250489,0.27887756872481545,0.2328767123287671
0.0684931506849315,0.2637460225729679,0.2397260273972603
0.07045009784735812,0.24923357898337548,0.24657534246575344
0.07240704500978473,0.23532419618341144,0.2534246575342466
0.07436399217221135,0.22200658422085717,0.2602739726027397
0.07632093933463796,0.2092733255004818,0.2671232876712329
0.07827788649706457,0.19711968412121192,0.273972602739726
0.08023483365949119,0.18554222600436523,0.2808219178082192
0.0821917808219178,0.17453739356456138,0.2876712328767123
0.08414872798434442,0.16410018397505277,0.29452054794520544
0.08610567514677103,0.15422306583951778,0.30136986301369867
0.08806262230919765,0.14489523547855795,0.3082191780821918
0.09001956947162426,0.13610226508264578,0.3150684931506849
0.09197651663405088,0.12782613839011667,0.3219178082191781
0.09393346379647749,0.12004561561813532,0.3287671232876712
0.0958904109589041,0.11273682885467011,0.3356164383561644
0.09784735812133072,0.10587399046455752,0.3424657534246575
0.09980430528375733,0.09943010388216593,0.3493150684931507
0.10176125244618395,0.09337759578957802,0.3561643835616438
0.10371819960861056,0.08768883249911505,0.363013698630137
0.10567514677103718,0.08233652896011263,0.36986301369863017
0.10763209393346379,0.07729409336586297,0.3767123287671233
0.1095890410958904,0.07253596423581125,0.3835616438356164
0.11154598825831702,0.06803798648671504,0.39041095890410954
0.11350293542074363,0.06377784189414326,0.3972602739726028
0.11545988258317025,0.05973550713879291,0.4041095890410959
0.11741682974559686,0.055893672346144216,0.410958904109589
0.11937377690802348,0.05223802731214954,0.4178082191780822
0.12133072407045009,0.04875732031845975,0.4246575342465754
0.1232876712328767,0.04544311857977643,0.4315068493150685
0.12524461839530332,0.04228924677399119,0.4383561643835616
0.12720156555772993,0.03929094250168578,0.4452054794520548
0.12915851272015655,0.03644383305739423,0.4520547945205479
0.13111545988258316,0.03374289265818915,0.45890410958904104
0.13307240704500978,0.031181568933917225,0.4657534246575342
0.1350293542074364,0.028751259906513837,0.47260273972602745
0.136986301369863,0.026441272074015573,0.4794520547945206
0.13894324853228962,0.024239301735573718,0.4863013698630137
0.14090019569471623,0.022132373679657733,0.4931506849315069
0.14285714285714285,0.020108071841820677,0.5
0.14481409001956946,0.0181558337348066,0.5068493150684932
0.14677103718199608,0.016268071393043218,0.5136986301369862
0.1487279843444227,0.014440925463956866,0.5205479452054794
0.1506849315068493,0.012674539312934585,0.5273972602739726
0.15264187866927592,0.010972833041447297,0.5342465753424658
0.15459882583170254,0.009342842861248186,0.541095890410959
0.15655577299412915,0.007793759329139542,0.547945205479452
0.15851272015655576,0.006335853156095418,0.5547945205479452
0.16046966731898238,0.004979549522422055,0.5616438356164384
0.162426614481409,0.0037351098833899514,0.5684931506849314
0.1643835616438356,0.0026141907729210654,0.5753424657534246
0.16634050880626222,0.0016389140577875894,0.5821917808219178
0.16829745596868884,0.0008958414719619189,0.5890410958904109
0.17025440313111545,0.0007499576076989667,0.5958904109589042
0.17221135029354206,0.0012021035341923112,0.6027397260273973
0.17416829745596868,0.0017416736472494977,0.6095890410958904
0.1761252446183953,0.0022376337149696947,0.6164383561643836
0.1780821917808219,0.002669815049983779,0.6232876712328768
0.18003913894324852,0.0030373674267147456,0.6301369863013698
0.18199608610567514,0.0033441877086199897,0.636986301369863
0.18395303326810175,0.0035958601392897644,0.6438356164383562
0.18590998043052837,0.0037990941285061244,0.6506849315068493
0.18786692759295498,0.00396179143093455,0.6575342465753424
0.1898238747553816,0.004093093217201608,0.6643835616438356
0.1917808219178082,0.004203074877566507,0.6712328767123288
0.19373776908023482,0.004301936695116909,0.678082191780822
0.19569471624266144,0.004398739727901832,0.684931506849315
0.19765166340508805,0.004499964346416808,0.6917808219178082
0.19960861056751467,0.004608338566817239,0.6986301369863014
0.20156555772994128,0.004722374435490712,0.7054794520547945
0.2035225048923679,0.00483682375005948,0.7123287671232876
0.2054794520547945,0.004943934472014523,0.7191780821917808
0.20743639921722112,0.00503514497808955,0.726027397260274
0.20939334637964774,0.0051027968695689045,0.7328767123287672
0.21135029354207435,0.0051415378673883945,0.7397260273972603
0.21330724070450097,0.005149221411396501,0.7465753424657534
0.21526418786692758,0.005127217774685798,0.7534246575342466
0.2172211350293542,0.0050801201092223166,0.7602739726027397
0.2191780821917808,0.005014882128434968,0.7671232876712328
0.22113502935420742,0.004939494755147236,0.773972602739726
0.22309197651663404,0.004861414299851062,0.7808219178082191
0.22504892367906065,0.004786073936981393,0.7876712328767124
